i_type,incident_with,date,details,riding_on,terrain,direction,turning,age,sex,longitude,latitude,X,Y
Near collision with moving object or vehicle,"Vehicle, angle",2016-05-05T09:20:00,"Car rolled through stop sign, turned right from Alma (northbound)  onto Pt Grey Rd (eastbound).  I was eastbound on Pt Grey Rd from the bike path which ended at Alma following the sharrows to the south side of Pt Grey Rd.  This is the second time this has happened recently, green paint might help.",Busy street bike lane,Flat,E,Heading straight,1972,M,-123.1855398,49.27225338,486503.2721,5457738.26
Near collision with moving object or vehicle,"Vehicle, head on",2016-05-06T15:15:00,The intersection at Oak and 7th is awful. There's a blind hill to the south so it's hard to see cars coming. And on the north it's a very steep hill so many cars blast up the hill to keep up their momentum.  This needs to be a 4 way stop like at 10th and Yukon.,"Busy street, no bike facilities",Downhill,E,Heading straight,1988,F,-123.1265259,49.26513366,490794.8,5456937.896
Near collision with moving object or vehicle,"Vehicle, rear end",2016-04-29T17:25:00,"A car drove in the bike lane and nearly rear-ended me. In addition, two other cars were driving earlier. A video is available.https://youtu.be/SL6rOmE_pOs",Busy street bike lane,Downhill,SW,Heading straight,1989,M,-123.1119668,49.27892061,491856.29,5458468.926
Near collision with moving object or vehicle,"Vehicle, side",2016-05-05T17:30:00,"Driver of black SUV in full road rage mode. Tried to squeeze me off the road. Got out of vehicle, threatened me. Chased me down 2nd Ave, continued to threaten.","Quiet street, no bike facilities",Flat,N,Heading straight,1974,M,-123.1876159,49.26945672,486351.484,5457427.727
Near collision with moving object or vehicle,"Vehicle, side",2016-05-06T19:00:00,"Car speeding north down Alder didn't slow or look when approaching the traffic circle. I was well in the traffic circle (almost in front of him) before he was. Only stopped when I came to a complete stop in traffic circle and yelled at him as he tried to speed through.","Quiet street, no bike facilities",Flat,E,Heading straight,1974,M,-123.1313431,49.26522118,490444.3454,5456948.223
Near collision with stationary object or vehicle,"Vehicle, open door",2015-11-13T17:20:00,"Taxi waiting at a red light allowed passenger in the front passenger seat to disembark without him pulling over to curb first. Passenger swung the door wide as i passed, narrowly missing me. I stopped and she acted like i was the one who nearly hurt her.","Busy street, no bike facilities",Downhill,W,Heading straight,1991,F,-123.1155356,49.28746005,491598.1752,5459418.653
Near collision with moving object or vehicle,"Vehicle, side",2016-04-29T17:25:00,Minivan wanted to pickup someone waiting on the west curb of burrard. Driver swung into the bike lane nearly knocking me off my bike.,Busy street bike lane,Flat,S,Heading straight,1991,F,-123.1167934,49.28729605,491506.6785,5459400.561
Near collision with moving object or vehicle,"Vehicle, side",2016-02-15T10:00:00,,,,,,,,-123.0696201,49.27756274,494936.1639,5458314.27
Near collision with moving object or vehicle,Pedestrian,2016-05-19T14:30:00,"I was the pedestrian that was hit, not the bicyclist.",,,,,,,-123.0872101,49.27746824,493656.7446,5458305.093
Near collision with moving object or vehicle,Pedestrian,2016-05-20T17:20:00,Pedestrian J Walking crossing the road in middle of block without looking to make sure road was clear of cars or bikes. Almost crashed into pedestrian ,"Quiet street, no bike facilities",Flat,E,Heading straight,,M,-123.0645275,49.26163747,495305.0638,5456543.522
Near collision with moving object or vehicle,"Vehicle, side",2016-05-27T08:00:00,"I was waiting in the left turn lane for a gap in traffic and was passed on the right (in the left turn lane) by another car turning left. He didnt wait his turn and instead cut me off, removing my right of way and sightlines.","Busy street, no bike facilities",Flat,NE,Turning left,1993,M,-123.0318753,49.23812641,497679.6938,5453928.28
Near collision with moving object or vehicle,"Vehicle, side",2016-05-17T06:45:00,Car heading North on Highbury St. blew through traffic circle at approx 30 km/h. Driver did not slow down as she approached the traffic circle nor check to see if traffic circle was clear and yield as I was already in the intersection. I almost hit her front quarter panel/headlight/hood.,Quiet street bike lane,Downhill,E,Heading straight,,M,-123.1878519,49.26531219,486333.1685,5456967.022
Near collision with moving object or vehicle,"Vehicle, side",2016-05-30T16:30:00,,,,,,,,-123.0774307,49.26972274,494367.1661,5457443.246
Near collision with moving object or vehicle,"Vehicle, side",2016-05-30T16:30:00,,,,,,,,-123.0774307,49.26972274,494367.1661,5457443.246
Near collision with moving object or vehicle,"Vehicle, side",2016-05-30T16:30:00,,,,,,,,-123.0774307,49.26972274,494367.1661,5457443.246
Near collision with moving object or vehicle,"Vehicle, side",2016-05-29T15:20:00,"When going west on 1st and crossing Quebec, the light turned green but a truck continued north on Quebec after it had a red light. It barely missed me and three other people who were cycling through the intersection.This was at least two seconds after we had a green and the truck had a red.","Busy street, no bike facilities",Flat,W,Heading straight,1962,M,-123.1026381,49.27017077,492533.4774,5457495.239
Near collision with moving object or vehicle,Pedestrian,2016-05-30T16:30:00,"Heading SW on Hornby bike lane about to cross Robson intersection.Just before reaching intersection pedestrians started crossing the bike lane without looking for cyclists and totally oblivious to their red signal light. It was a close call.",Cycle track,Flat,SW,Heading straight,1983,M,-123.1217194,49.28265807,491147.6275,5458885.519
Near collision with moving object or vehicle,"Vehicle, angle",2016-05-31T08:30:00,Riding NE on Hornby bike lane and about to cross the Robson St intersection on a plain green light. A car heading in the same direction as me decided to turn right on Robson St from Hornby St which is forbidden and indicated by numerous signs. Nearly hit the vehicle and had to maneuver around it...,Cycle track,Flat,NE,Heading straight,1983,M,-123.121773,49.28258108,491143.7123,5458876.966
Near collision with stationary object or vehicle,"Vehicle, open door",2016-05-31T11:55:00,Parked car opened door and failed to look for cyclist,"Busy street, no bike facilities",Uphill,W,Heading straight,1976,F,-123.1205606,49.26334482,491228.4744,5456738.32
Near collision with stationary object or vehicle,"Vehicle, open door",2016-05-31T11:55:00,Parked car opened door and failed to look for cyclist,"Busy street, no bike facilities",Uphill,W,Heading straight,1976,F,-123.1205606,49.26334482,491228.4744,5456738.32
Near collision with moving object or vehicle,"Vehicle, side",2016-06-01T08:00:00,,,,,,,,-123.1430483,49.24754,489589.0378,5454984.149
Near collision with moving object or vehicle,"Vehicle, side",2016-06-01T17:50:00,"Same as another cyclists' October report.  I was heading north on Heather.  A motor vehicle (van) had signalled it was turning right, but halfway through the intersection, the van continued north instead, forcing me towards oncoming traffic.","Quiet street, no bike facilities",Flat,N,Heading straight,1984,,-123.1199276,49.26045314,491274.0193,5456416.777
Near collision with moving object or vehicle,"Vehicle, angle",2016-05-19T20:30:00,"I was cycling east on 7th through the intersection.  A car also heading east through 7th ignored the right turn only, moved around the barrier and continued east, attempting to merge into my line of travel.","Quiet street, no bike facilities",Flat,E,Heading straight,1984,,-123.1199169,49.26506715,491275.6134,5456929.718
Near collision with moving object or vehicle,"Vehicle, head on",2016-05-26T16:30:00,"A fire truck was rapidly bobbing and weaving around cars that were pulling over for it. I pulled over against a parked car and as the fire truck was maneuvering around a car in the other direction, it was headed directly toward me at a high speed before swerving at the last second. ",,,,,1983,F,-123.1402481,49.26267268,489795.9562,5456666.069
Near collision with moving object or vehicle,"Vehicle, angle",2016-05-30T19:40:00,"Son and I biking east on 45th Ave bike route, lady almost hit my son at Alberta as she let me go through traffic circle but darted ahead between my son and I. She was heading south.  Luckily my son braked in time. She knew what she did and slowed right down. Doubled back to say something. She left.",Quiet street bike lane,Downhill,E,Heading straight,1970,M,-123.1129861,49.22974739,491773.9903,5453002.443
Near collision with moving object or vehicle,"Vehicle, head on",2016-05-18T09:30:00,"Motorist ran the red light at 5th Ave. heading north on Main St. long after it had changed, nearly hitting me, and pedestrians crossing at crosswalk. I had entered the intersection from 5th Ave westbound to turn left and ride southbound on Main St.","Busy street, no bike facilities",Uphill,W,Turning left,1978,M,-123.1047463,49.26651638,492379.5501,5457089.189
Near collision with moving object or vehicle,"Vehicle, head on",2016-05-18T09:45:00,"Motorist ran the red light at 5th Ave. heading north on Main St. long after it had changed, nearly hitting me, and pedestrians crossing at crosswalk. I had entered the intersection from 5th Ave westbound to turn left and ride southbound on Main St.","Busy street, no bike facilities",Uphill,SW,Turning left,1978,M,-123.1007659,49.26642537,492669.1164,5457078.677
Near collision with moving object or vehicle,"Vehicle, rear end",2014-07-13T15:30:00,"Riding down Spanish Banks Hill, car heading west decided to U-turn without noticing biker coming down hill in eastbound lane. Radius of turn was very tight so car was almost stationary in eastbound lane. Almost collided with rear of car.  ","Quiet street, no bike facilities",Downhill,E,Heading straight,1988,M,-123.2426548,49.27927057,482351.0647,5458530.135
Near collision with moving object or vehicle,"Vehicle, angle",2016-06-02T10:00:00,"Light turns green.  Walk signal is go, I ride straight.  Car turning right cuts me off.  I yell and he stops.",,,,,,,-123.1171113,49.21005247,491470.2616,5450813.426
Near collision with moving object or vehicle,"Vehicle, head on",2016-06-01T10:00:00,"Traveling east, getting off the Kent bike lane heading north onto Cambie st.  South bound car on Cambie street is trying to do right turn on to Kent.  Driver is not expecting bikes to be crossing his path.  Almost head on collsion.",,,,,,,-123.1173903,49.20605367,491449.2549,5450368.913
Near collision with stationary object or vehicle,"Vehicle, side",2016-06-08T17:20:00,"A car was in the middle of the bike lane, waiting to turn East on 6th.  The drive: talking on her mobile , on speaker, holding it next to her mouth!  Had to detour around the front of the  vehicle, while yelling for her attention. There should be no right turn on red here.",Cycle track,Flat,E,Heading straight,1950,M,-123.1157246,49.26605426,491580.7856,5457038.979
Near collision with stationary object or vehicle,"Vehicle, open door",2016-06-03T16:05:00,Car stopped in the middle of the street (cars parked on both sides of the street) with little room between it and parked cars.  Rear driver-side passenger opened the door very suddenly with little time for me to react.  Had to swerve do avoid colliding with the door.,,Flat,S,Heading straight,1972,M,-123.0797696,49.23409807,494192.8425,5453483.024
Near collision with moving object or vehicle,"Vehicle, rear end",2016-02-19T20:00:00,Was riding in the right lane. Had bright lights. Nearly rear ended by speeding car that wanted to pass without changing lanes.,,,,,,,-123.0696952,49.26437753,494929.3502,5456848.469
Near collision with moving object or vehicle,"Vehicle, angle",2016-06-13T16:05:00,"Heading south on Columbia  @ 11th Ave, making a left turn and car approaching on my left didn't slow down for the stop sign. He wasn't going to stop. The driver wasn't apologetic but rather extremely belligerent after I told him about the stop sign.","Quiet street, no bike facilities",Uphill,S,Turning left,1965,M,-123.1095475,49.26124784,492029.4107,5456503.979
Near collision with moving object or vehicle,"Vehicle, head on",2016-06-15T17:30:00,Motorist passing cyclists heading south-bound by veering into the north-bound lane. Motorist kept driving towards me as if I didn't exist. I yelled HEY and swerved out of the way (and out of my sound-bound lane into lane full of parked vehicles).,"Busy street, no bike facilities",Flat,N,Heading straight,1978,M,-123.1053042,49.24239901,492335.2289,5454408.114
Near collision with moving object or vehicle,"Vehicle, side",2016-06-16T10:10:00,Large cargo container in parking lane just before alleyway blocking sight lines. Motorist entered Ontario St. from alley eastbound such that we both slammed on our brakes not to collide.,"Busy street, no bike facilities",Flat,S,Heading straight,1978,M,-123.105095,49.2589232,492353.0094,5456245.088
Near collision with moving object or vehicle,"Vehicle, side",2016-06-16T09:45:00,Crossing Clark at adanac. A pickup went thru a red light while the light was counting down on 11. I witnessed a bike just infront of me side impacting the truck,Busy street bike lane,Flat,W,Heading straight,,,-123.0772289,49.27762923,494382.7469,5458322.2
Near collision with moving object or vehicle,"Vehicle, side",2016-06-16T09:45:00,Vancouver crossing Clark at adanac. A pickup truck heading south crossed at red light. I saw the bike just before me side impacting the truck as the pedestrian light counted down at 11.,,,,,,,-123.0772688,49.27766868,494379.85,5458326.588
Near collision with moving object or vehicle,"Vehicle, angle",2016-06-20T09:00:00,Heading NE on Hornby bike ln. behind another cyclist. About to cross Davie St on green light when a first cab did a quick right turn onto Davie St from Hornby St. A 2nd cab decided to follow without shoulder check and almost hit first cyclist. Had to use bike horn to bring driver's attention.,Cycle track,Flat,NE,Heading straight,1983,M,-123.1281513,49.27837817,490679.0408,5458410.493
Near collision with moving object or vehicle,"Vehicle, side",2016-06-19T15:05:00,Narrow section of the road. Cars travel at high speeds along here to cut through this part of the city. Travel with caution.,,,,,,,-123.1748271,49.23858145,487273.8953,5453993.09
Near collision with moving object or vehicle,"Vehicle, side",2016-06-21T16:10:00,"Nearly T-boned by motorist while riding northbound from bike-lane to bike-lane. The light was in my favour, I waited for traffic to clear and proceeded through the intersection. Motorist entered turning left from south-bound centre lane at high speed. I yelled HEY before he stopped.",Busy street bike lane,Flat,N,Heading straight,1978,M,-123.1171274,49.21010855,491469.0991,5450819.661
Near collision with moving object or vehicle,"Vehicle, side",2016-06-23T06:45:00,"Biking SW on the dedicated path. Driver wishing to turn right onto West 6th had a red light, but coasted right through the bike crossing, looking left the whole while and not seeing me coming from his right. Had I not slowed down I would have been a pancake. There should be NO right turn on red.",Busy street bike lane,Flat,SW,Heading straight,,,-123.1157166,49.26609632,491581.3782,5457043.654
Near collision with stationary object or vehicle,"Vehicle, open door",2016-06-14T19:30:00,Almost doored. Sudden evasive maneuver required.,,,,,,,-123.0697167,49.26531569,494927.8852,5456952.767
Near collision with moving object or vehicle,"Vehicle, rear end",2016-03-26T17:30:00,"Car gave no space while passing, very close call",,,,,,,-123.1011522,49.25771883,492639.7222,5456110.806
Near collision with moving object or vehicle,"Vehicle, rear end",2016-06-23T08:35:00,Car gave no space while trying to pass at high speed,,,,,,,-123.1174707,49.26440553,491453.467,5456855.886
Near collision with moving object or vehicle,"Vehicle, rear end",2016-04-27T19:30:00,Car gave no space while passing at high speed,,,,,,,-123.1012487,49.25590871,492632.4267,5455909.585
Near collision with moving object or vehicle,"Vehicle, angle",2016-05-26T14:40:00,Westbound car turning north across my path as I tried to make the awkward sharp turn from south to east direction. The informal path that has been blocked off had better sight lines and was much safer,,,,,,,-123.1596941,49.27289914,488383.5219,5457805.756
Near collision with moving object or vehicle,"Vehicle, angle",2016-06-27T09:10:00,"Stopped on Hornby bike ln. at red light like cars in right turning lane on my left. Several cars turn on their green then 1 on the orange, 1 more when orange turned red, then 1 more decided to turn on the red when I started crossing on green bike lane light. Cars were just following each other...",Cycle track,Flat,NE,Heading straight,1983,M,-123.1250185,49.28048142,490907.2901,5458643.931
Near collision with moving object or vehicle,"Vehicle, head on",2016-05-30T08:00:00,Riding with 8 year old to school. Heading onto Burrard Bridge and crossing Pacific w/ light.  Driver turned right from Burrard onto Pacific on a red light directly into us but stopped in time to avoid flattening us.  Not sure if signage not as clear for drivers with current construction? ,Busy street bike lane,Downhill,S,Heading straight,1977,F,-123.1323838,49.27703778,490370.9314,5458262.011
Near collision with moving object or vehicle,"Vehicle, side",2016-06-23T08:15:00,SUV overtook me from behind and passed while I was in the traffic circle. Vehicle passed between the traffic circle curb and me. Somehow.,"Quiet street, no bike facilities",Uphill,S,Turning right,1974,M,-123.1877553,49.26531219,486340.1935,5456967.004
Near collision with moving object or vehicle,Pedestrian,2016-06-28T07:50:00,"After I started crossing Richards Street, the light turned yellow and a pedestrian started crossing the cycle track without looking. I braked hard and yelled and was able to stop before colliding. I yelled at the pedestrian to pay attention and continued on.",Cycle track,Flat,SE,Heading straight,1958,M,-123.1145096,49.28233613,491671.9239,5458848.909
Near collision with moving object or vehicle,Pedestrian,2016-06-30T08:00:00,Pedestrian on the corner of intersection in front of Starbucks.  Was looking SW up Hornsby at oncoming traffic but not NE in other direction I was riding my bike.  I had green light and just as entered the intersection  when he stepped out in front of me.  I swerved and yelled a warning.  No contact,Cycle track,Flat,SW,Heading straight,1952,M,-123.1181788,49.28495359,491405.5201,5459140.305
Near collision with moving object or vehicle,"Vehicle, rear end",2016-07-05T00:00:00,Bus attempted to overtake me on the right hand side to pull into bus stop  This isn't the first time it has happened. The bus drivers use the right turn lane on Pacific at the intersection to the east with Cambie Street (painted bike lane is directly to left) and undercut bikes by cont. on Pacific.,Busy street bike lane,Flat,W,Heading straight,1968,M,-123.1194844,49.27458372,491308.7497,5457987.629
Near collision with moving object or vehicle,"Vehicle, head on",2016-07-05T09:15:00,Cycling onto the Dunsmuir bike lane when I ended up with a SUV driving towards me on the bike lane. I had to squeeze to the right so the vehicle could pass... Driver was not a bit apologetic...,Cycle track,Downhill,SW,Heading straight,1983,M,-123.1179267,49.28469465,491423.811,5459111.49
Near collision with moving object or vehicle,"Vehicle, side",2016-07-06T05:20:00,"Cycling  west bound on the Smithe St. bike lane and was approaching Beatty St.. Vehicle ran the red light, right turn traffic signal. This is a new right turn signal for  vehicles on Smithe St., westbound to Beatty St., northbound. Also, there is a no right turn on red regulation for this signal. ",Cycle track,Flat,W,Heading straight,,,-123.1154698,49.27648131,491601.0939,5458198.131
Near collision with moving object or vehicle,"Vehicle, head on",2016-07-06T06:30:00,"A truck almost failed to yield the right of way at the crossing of the slip lane. I was travelling southbound on the path and the truck was using the right turn slip lane to get on the freeway/bridge, but didn't stop until we almost collided. Problem is motorists are focused on crossing motor traffic from their left, not peds or cyclists coming from the right. Also, there is a lack of clear ROW signage. Yield signs should be placed BEFORE the crossing, and the crossing should be a raised table.",Mixed use trail,Downhill,S,Heading straight,1987,M,-123.0312055,49.28131954,497730.4307,5458730.053
Near collision with moving object or vehicle,"Vehicle, side",2016-07-05T17:45:00,"Light had turned green for me and I took a look before proceeding. I saw a car that I thought might not stop and sure enough, she blew through the red about 3 seconds after the light turned red for her.  If I had proceeded, I would have been right in her path. I shouted and she looked shocked.",Quiet street bike lane,Flat,N,Heading straight,1958,M,-123.1027561,49.27633432,492525.8234,5458180.455
Near collision with moving object or vehicle,"Vehicle, side",2016-07-06T14:15:00,"Used the pedestrian stoplight to crossover intersection. I was already halfway thru the intersection when I heard tire screeching, an SUV went thru the red stop light and almost hit me on the left side. A lot of witnesses in other cars saw the whole incident.","Busy street, no bike facilities",Uphill,I don't know,Heading straight,1980,M,-123.0797964,49.2327232,494190.7287,5453330.182
Near collision with moving object or vehicle,"Vehicle, side",2016-07-06T14:15:00,"Used the pedestrian stoplight to crossover intersection. I was already halfway thru the intersection when I heard tire screeching, an SUV went thru the red stop light and almost hit me on the left side. A lot of witnesses in other cars saw the whole incident.","Busy street, no bike facilities",Uphill,I don't know,Heading straight,1980,M,-123.0797964,49.2327232,494190.7287,5453330.182
Near collision with moving object or vehicle,"Vehicle, angle",2016-07-07T09:05:00,Waiting for the green light on Hornby bike lane at the Pacific intersection going downtown. When green light turned on I started crossing and a vehicle on my left sped to do a right turn across the bike lane and almost hit me.,Cycle track,Uphill,NE,Heading straight,1972,M,-123.1314772,49.27622233,490436.7152,5458171.242
Near collision with moving object or vehicle,"Vehicle, side",2006-07-11T07:45:00,Proceeding through a green light at Adanac & Clark and tractor with trailer (coming from Port) ran a red and nearly killed me. I believe the driver was focusing on the light ahead at Venables.,Busy street bike lane,Flat,W,Heading straight,1981,M,-123.0770659,49.27756974,494394.5919,5458315.574
Near collision with moving object or vehicle,"Vehicle, side",2016-08-13T11:30:00,,,,,,,,-123.1047289,49.28117563,492383.076,5458718.863
Near collision with moving object or vehicle,"Vehicle, head on",2016-07-12T09:25:00,A car was driving down the Hornby bike lane towards the Helmcken intersection. The car tried to jam itself between a group a cycling kids coming from the opposite direction and the bike lane curb without stopping to let them handle the situation first and safely move out of the way. ,Cycle track,Flat,NE,Heading straight,1983,M,-123.1265688,49.27943855,490794.34,5458528.182
Near collision with moving object or vehicle,"Vehicle, side",2016-07-13T17:00:00,New curb side bike lane were drivers don't check when turning right across the bike lane. ,Busy street bike lane,Downhill,SW,Heading straight,1978,M,-123.1138873,49.27753474,491716.3765,5458315.067
Near collision with moving object or vehicle,"Vehicle, side",2016-07-13T18:40:00,Black truck driven by King Prat 9102 stopped at Lakeview Stop sign opted to drive as 3 cyclist approached.  All 3 swerved to miss.  When asked driver said he stopped and figured it was OK for him to go now.   Attempted to cause bodily harm.,Mixed use trail,Flat,W,Turning left,,,-123.0620536,49.26069295,495484.9766,5456438.369
Near collision with moving object or vehicle,"Vehicle, side",2016-07-13T11:55:00,Driver almost right hooked me without signaling when she turned from southbound on Windsor to westbound on 19th Ave.,"Quiet street, no bike facilities",Flat,S,Turning right,1975,F,-123.0837664,49.25363772,493904.2884,5455655.561
Near collision with moving object or vehicle,"Vehicle, side",2016-08-13T11:30:00,,,,,,,,-123.1047289,49.28117563,492383.076,5458718.863
Near collision with moving object or vehicle,"Vehicle, side",2016-08-11T17:00:00,2 vehicles turned from Smithe on to Hornby against a red light,Cycle track,Flat,S,Heading straight,1960,M,-123.1231356,49.28156975,491044.433,5458764.697
Near collision with moving object or vehicle,"Vehicle, side",2016-07-20T17:40:00,Chinese woman in a 4x4 blew through the red and nearly hit me,Busy street bike lane,Flat,E,Heading straight,1993,M,-123.0969438,49.27760823,492948.7778,5458321.518
Near collision with moving object or vehicle,"Vehicle, angle",2016-07-20T09:45:00,Vehicle passed me as I approached signal button an cut in front of me to turn right almost striking my front wheel.  A regular occurrence at this intersection.,"Busy street, no bike facilities",Downhill,W,Heading straight,1975,M,-123.037734,49.24085802,497253.3705,5454232.149
Near collision with moving object or vehicle,"Vehicle, side",2016-07-20T11:25:00,Armoured truck passed me extremely closely (~30cm) just before the red light we both had to stop at on Quebec Street,"Busy street, no bike facilities",Flat,E,Heading straight,1975,F,-123.1030904,49.27013451,492500.5729,5457491.253
Near collision with moving object or vehicle,Another cyclist,2016-07-18T17:30:00,"Another cyclist ran a stop sign (full speed, no pause) traveling north at intersection. ","Quiet street, no bike facilities",Flat,W,Heading straight,1976,F,-123.0578613,49.27750674,495791.4384,5458307.324
Near collision with moving object or vehicle,"Vehicle, side",2016-07-22T09:30:00,"I waited my turn at the 4-way stop. Had to slam on the brakes mid-intersection to avoid being hit by a lady driving  a newer SUV  who did not stop at all at the stop sign coming up the hill on Yukon. She was looking down, and may have been using a cell phone.",Busy street bike lane,Flat,W,Heading straight,1982,M,-123.1129432,49.26222458,491782.5061,5456612.926
Near collision with moving object or vehicle,"Vehicle, side",2016-07-26T09:30:00,"Vehicle turning in dead-end, didn't yield to through traffic (my bike).",,Downhill,W,Heading straight,1963,M,-123.1700474,49.27107733,487629.9443,5457604.867
Near collision with moving object or vehicle,"Vehicle, head on",2016-07-26T16:20:00,"I had 5 seconds still to go north straight through the intersection Silver car raced to make a left turn just as I was almost clear of the intersection. He slammed on his breaks enough to let me through. Many pedestrians standing on corner witnessed this. I was in the middle of the intersection, not going that fast and was very visible wearing bright pink Scared the crap out of me how close that was",,,,,,,-123.143232,49.26798657,489579.9712,5457257.224
Near collision with moving object or vehicle,"Vehicle, angle",2016-07-27T08:45:00,Riding on bike lane and crossing Granville street when a SUV decided to do a right turn on Granville across the bike lane. This turn is not allowed for vehicles on dunsmuir. Driver saw me and decided to proceed anyway. Was a close call.,Cycle track,Flat,SE,Heading straight,1983,M,-123.1163549,49.28366587,491537.9418,5458996.942
Near collision with moving object or vehicle,"Vehicle, angle",2016-07-29T09:00:00,"Riding on bike lane following another cyclist. A car decided to do a restricted right turn from Hornby onto Helmcken and almost hit both of us.We had a plain green light and had to swerve an brake to avoid collision.",Cycle track,Flat,NE,Heading straight,1983,M,-123.126601,49.27945955,490792.0029,5458530.521
Near collision with moving object or vehicle,"Vehicle, angle",2016-07-28T17:10:00,Riding new Burrard southbnd bike lane when a SUV heading in same direction did a right turn into the alley between 3rd & 4th Ave.  Driver did not shoulder check despite well marked bike lane crossing. Almost collided with the car. Cyclist ahead of me was forced to turn into alley to avoid SUV.,Cycle track,Uphill,S,Heading straight,1983,M,-123.145752,49.26846962,489396.7512,5457311.275
Near collision with moving object or vehicle,Pedestrian,2016-08-03T17:20:00,The CVG bike trail is combined with the pedestrian walk way near a bus stop,"Busy street, no bike facilities",,E,Turning left,,,-123.0337429,49.26039712,497544.8505,5456404.176
Near collision with moving object or vehicle,"Vehicle, side",2016-09-23T13:30:00,Car changed into bike lane and turned right.  I had to yield/slam on brakes or get side impact with said vehicle.,Busy street bike lane,Uphill,NW,Heading straight,1975,M,-123.1162544,49.2771279,491544.1391,5458270.1
Near collision with moving object or vehicle,"Vehicle, side",2016-08-09T08:45:00,"Riding E; *continuing* NE on 1st street from right side of lane. Intention to continue NE  on 1st. Option to continue straight onto Fir street, which a passing car decided to do, nearly colliding with me. Junction confusing to cyclists and motorists. Cyclist taking lane here is difficult in practice","Busy street, no bike facilities",Flat,NE,Turning left,1983,F,-123.1418949,49.2706153,489677.7913,5457549.277
Near collision with moving object or vehicle,"Vehicle, side",2016-08-05T16:00:00,Frustrated entitled driver driving in a threatening manner. This stretch feels especially sketchy with cars. Maybe it should be emergency/delivery vehicles only?,"Quiet street, no bike facilities",Flat,E,Heading straight,1983,F,-123.1365252,49.26261667,490066.8128,5456659.346
Near collision with moving object or vehicle,"Vehicle, side",2016-08-11T08:50:00,"I was Wesbound, exiting the shared path, that crosses the end of Spyglass Place.  Motorist did not stop at the stop sign at the end of Spyglass Place, I yelled ""on your left"", he heard and stopped, then began to proceed again.",Mixed use trail,Uphill,W,Heading straight,,,-123.1152928,49.26797607,491612.5283,5457252.58
Near collision with moving object or vehicle,Another cyclist,2016-08-13T14:35:00,Guy was approaching seawall bikepath but didn't slow down and couldn't see me coming due to the hedge beside the seawall bike path.   I know he should stop but maybe a painted stop sign on the pavement would make people stop/slow down.  Or trim the hedge so they can see on coming traffic.  ,,,,,,,-123.110159,49.27177736,491986.6206,5457674.614
Near collision with stationary object or vehicle,"Vehicle, open door",2016-08-14T17:50:00,"I was moving North between a parked car and a stationary car waiting to park. The parked car, on my right opened their door as I was passing. I was just past the door so only the back of the drivers side mirror hit me.","Busy street, no bike facilities",Flat,N,Heading straight,,,-123.1476778,49.27181586,489257.3767,5457683.55
Near collision with moving object or vehicle,"Vehicle, side",2016-08-16T07:25:00,Cars on dunsmuir drive through red lights at Hornby almost every day. They need a red light camera at this intersection,Busy street bike lane,Flat,N,Heading straight,1960,M,-123.1180501,49.28489061,491414.8721,5459133.288
Near collision with moving object or vehicle,"Vehicle, side",2016-08-16T16:45:00,Heading downhill and lights were green in my favour. Car was at junction coming out of Cambie St. It had stopped but then Started to move out to turn right. I had to swerve to avoid hitting the front of the car. Car stopped just in time.,Busy street bike lane,Downhill,E,Heading straight,1977,F,-123.1100115,49.28151726,491998.9275,5458757.389
Near collision with moving object or vehicle,"Vehicle, head on",2016-08-18T13:30:00,I was going straight on Laurel at 8th. The driver of a car travelling in the opposite direction turned left towards me and stopped at the last second. He was angry and said I missed the stop sign. Went back to double check - there is no stop sign.,"Quiet street, no bike facilities",Downhill,N,Heading straight,1982,M,-123.1241655,49.26430401,490966.3718,5456845.379
Near collision with moving object or vehicle,Another cyclist,2016-08-25T10:10:00,,,,,,,,-123.0337965,49.26062468,497540.9586,5456429.476
Near collision with moving object or vehicle,"Vehicle, side",2015-09-22T05:45:00,My right of way headed into roundabout and car speeding down other hill didn't look or see me as they entered the round about. I skidded sideways and fell of my bike into the roundabout in the middle of the road. They drove away.,Quiet street bike lane,Downhill,N,Heading straight,1994,F,-123.0734682,49.27142968,494655.6112,5457632.72
Near collision with moving object or vehicle,"Vehicle, side",2016-08-28T11:05:00,,,,,,,,-123.0791903,49.27773072,494240.0986,5458333.631
Near collision with moving object or vehicle,"Vehicle, head on",2016-09-01T09:00:00,"I've had multiple close calls at this intersection. One the west side,  the stop sign is almost covered by trees.  Cars coming from either direction hardly ever stop at the stop sign.I've yelled at one driver for not stopping, he yelled back that it was a four way stop and I should have stopped too.  The intersection is not a four way,  cyclists are not required to stop before entering the intersection, but I think most cars think it's a four way for some reason and never stop.","Quiet street, no bike facilities",Flat,W,Heading straight,1983,F,-123.0741517,49.27766397,494606.5701,5458325.838
Near collision with moving object or vehicle,"Vehicle, head on",2016-09-01T10:55:00,"I was heading W on Union when a car on Jackson began turning left onto EB Union, almost hitting me in the process. I had to swerve severely to avoid the car. ","Quiet street, no bike facilities",Flat,W,Heading straight,1987,M,-123.0935562,49.27753824,493195.1679,5458313.426
Near collision with stationary object or vehicle,"Vehicle, open door",2016-09-01T11:00:00,A woman opened her driver door directly into my path. I swerved to avoid the opening door.,"Quiet street, no bike facilities",Flat,W,Heading straight,1987,M,-123.0926415,49.27753824,493261.694,5458313.344
